,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
328,66569066,"Cambridge, MA",100%,1.0,"[""Children\u2019s dinnerware"", ""Heating"", ""Luggage dropoff allowed"", ""Coffee maker"", ""First aid kit"", ""Babysitter recommendations"", ""Iron"", ""Washer"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Hair dryer"", ""Fire extinguisher"", ""Free street parking"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Smart lock"", ""Hangers"", ""Free parking on premises"", ""Cooking basics"", ""Dryer"", ""TV with standard cable"", ""Bed linens"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",4.78
329,19788941,"Boston, MA",22%,1.0,"[""Heating"", ""First aid kit"", ""Iron"", ""Washer"", ""Hair dryer"", ""Fire extinguisher"", ""Shampoo"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Hangers"", ""Lock on bedroom door"", ""Dryer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""TV"", ""Wifi""]",4.67
330,107434423,"New York, NY",97%,1.0,"[""Heating"", ""Coffee maker"", ""Dishwasher"", ""Iron"", ""Elevator"", ""Refrigerator"", ""High chair"", ""Hair dryer"", ""Pets allowed"", ""Gym"", ""Self check-in"", ""BBQ grill"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Washer \u2013\u00a0In unit"", ""Lockbox"", ""Hangers"", ""Cooking basics"", ""Crib"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dryer \u2013\u00a0In unit"", ""Long term stays allowed"", ""TV"", ""Wifi""]",
331,9365589,"Cambridge, MA",100%,1.0,"[""Heating"", ""Conditioner"", ""Coffee maker: Keurig coffee machine"", ""50 inch TV with Roku"", ""First aid kit"", ""Iron"", ""Clothing storage"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Free street parking"", ""Self check-in"", ""Shampoo"", ""Private entrance"", ""Counter top oven"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Drying rack for clothing"", ""Washer \u2013\u00a0In unit"", ""Microwave"", ""Hangers"", ""Induction stove"", ""Hot water kettle"", ""Cooking basics"", ""Bathtub"", ""Bed linens"", ""Cleaning products"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Dryer \u2013\u00a0In unit"", ""Long term stays allowed"", ""Wifi""]",4.79
332,19788941,"Boston, MA",22%,1.0,"[""Heating"", ""Coffee maker"", ""First aid kit"", ""Iron"", ""Washer"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Hangers"", ""Lock on bedroom door"", ""Dryer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""TV"", ""Wifi""]",4.35
333,222601907,"Boston, MA",100%,1.0,"[""Laundromat nearby"", ""Clothing storage: wardrobe"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Wine glasses"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Self check-in"", ""Shampoo"", ""Paid street parking off premises"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Hot water"", ""Microwave"", ""Free washer \u2013 In unit"", ""Freezer"", ""Patio or balcony"", ""Lockbox"", ""Hangers"", ""Hot water kettle"", ""Window AC unit"", ""Coffee maker: drip coffee maker"", ""Shower gel"", ""Bed linens"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Central heating"", ""Long term stays allowed"", ""Wifi""]",4.67
334,93861,"Boston, MA",99%,1.0,"[""Heating"", ""Coffee maker"", ""Dishwasher"", ""First aid kit"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Free street parking"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Dryer"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""TV"", ""Wifi""]",4.82
335,12576232,"Cambridge, MA",86%,1.5,"[""Heating"", ""Private living room"", ""Coffee maker"", ""Dishwasher"", ""First aid kit"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Hot water"", ""Microwave"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Bathtub"", ""Dryer"", ""Stove"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Long term stays allowed"", ""TV"", ""Wifi""]",
336,12576232,"Cambridge, MA",86%,1.5,"[""Heating"", ""Private living room"", ""Dishwasher"", ""First aid kit"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Hot water"", ""Microwave"", ""Patio or balcony"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Bathtub"", ""Dryer"", ""Stove"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Long term stays allowed"", ""TV"", ""Wifi""]",4.6
337,107434423,"New York, NY",97%,2.0,"[""Dryer \u2013 In building"", ""Heating"", ""Coffee maker"", ""Dishwasher"", ""Iron"", ""Elevator"", ""Refrigerator"", ""High chair"", ""Hair dryer"", ""Pets allowed"", ""Gym"", ""Self check-in"", ""BBQ grill"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Washer \u2013\u00a0In building"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Lockbox"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Bathtub"", ""Crib"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""TV"", ""Wifi""]",
