,host_name,host_since,neighbourhood,property_type,room_type,price
1258,Cai,2013-10-06,,Private room in home,Private room,$144.00
1259,Blueground,2016-12-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$333.00
1260,Thomas,2025-01-13,,Private room in rental unit,Private room,$120.00
1261,Thomas,2025-01-13,,Private room in rental unit,Private room,$91.00
1262,Harvard Square Hotel Cambridge,2024-02-13,,Room in hotel,Private room,
1263,Harvard Square Hotel Cambridge,2024-02-13,,Room in hotel,Private room,
1264,Harvard Square Hotel Cambridge,2024-02-13,,Room in hotel,Private room,
1265,Harvard Square Hotel Cambridge,2024-02-13,,Room in hotel,Private room,
1266,Harvard Square Hotel Cambridge,2024-02-13,,Room in hotel,Private room,
1267,Natasha,2015-05-01,,Entire rental unit,Entire home/apt,$200.00
1268,Zhengyi,2024-06-07,,Private room in home,Private room,$104.00
1269,Tina,2023-08-22,,Private room in rental unit,Private room,$50.00
1270,Tina,2023-08-22,,Private room in rental unit,Private room,$49.00
1271,Tina,2023-08-22,,Private room in rental unit,Private room,$72.00
1272,Tina,2023-08-22,,Private room in rental unit,Private room,$57.00
1273,Tina,2023-08-22,,Private room in rental unit,Private room,$60.00
1274,Tina,2023-08-22,,Private room in rental unit,Private room,$47.00
1275,Tina,2023-08-22,,Private room in rental unit,Private room,$53.00
1276,Tina,2023-08-22,,Private room in rental unit,Private room,$66.00
1277,Tina,2023-08-22,Neighborhood highlights,Private room in rental unit,Private room,$54.00
1278,Tina,2023-08-22,,Private room in rental unit,Private room,$80.00
1279,Tina,2023-08-22,Neighborhood highlights,Private room in rental unit,Private room,$52.00
1280,Tina,2023-08-22,,Private room in rental unit,Private room,$58.00
1281,Tina,2023-08-22,,Private room in rental unit,Private room,$51.00
1282,Tina,2023-08-22,,Private room in rental unit,Private room,
1283,Tina,2023-08-22,,Private room in rental unit,Private room,$63.00
1284,Tra My,2023-02-20,,Entire home,Entire home/apt,$637.00
1285,Haroldo,2022-06-09,,Entire rental unit,Entire home/apt,$346.00
1286,Steve,2015-09-05,,Entire rental unit,Entire home/apt,$298.00
1287,Tina,2023-08-22,,Private room in rental unit,Private room,$55.00
1288,Tina,2023-08-22,,Private room in rental unit,Private room,$69.00
1289,,,,Private room in rental unit,Private room,$65.00
1290,,,,Private room in rental unit,Private room,$67.00
1291,Evolve,2017-03-24,Neighborhood highlights,Entire rental unit,Entire home/apt,$164.00
1292,Liya,2020-10-28,,Entire rental unit,Entire home/apt,$84.00
1293,Blueground,2016-12-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$333.00
1294,Haroldo,2022-06-09,,Entire rental unit,Entire home/apt,$550.00
1295,Haroldo,2022-06-09,,Entire rental unit,Entire home/apt,$498.00
1296,Blueground,2016-12-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$301.00
1297,Steve,2015-09-05,,Entire rental unit,Entire home/apt,$778.00
1298,Deqiang,2022-05-11,,Entire home,Entire home/apt,$221.00
1299,Tina,2023-08-22,,Private room in rental unit,Private room,$54.00
1300,Tingying Wu,2018-02-14,,Entire rental unit,Entire home/apt,$198.00
1301,Liya,2020-10-28,,Private room in rental unit,Private room,
1302,,,Neighborhood highlights,Entire rental unit,Entire home/apt,$886.00
1303,Steve,2015-09-05,,Entire rental unit,Entire home/apt,$278.00
1304,Steve,2015-09-05,,Private room in rental unit,Private room,$29.00
1305,Steve,2015-09-05,,Private room in rental unit,Private room,$29.00
1306,Steve,2015-09-05,,Private room in rental unit,Private room,$41.00
1307,Liya,2020-10-28,,Entire rental unit,Entire home/apt,$170.00
1308,Luca,2021-08-08,,Entire rental unit,Entire home/apt,$165.00
1309,Flora,2018-05-23,,Entire rental unit,Entire home/apt,$110.00
1310,Emma,2014-10-10,Neighborhood highlights,Entire home,Entire home/apt,
1311,Kendall Hotel,2025-03-17,,Room in hotel,Private room,
1312,Kendall Hotel,2025-03-17,,Room in hotel,Private room,
1313,Kendall Hotel,2025-03-17,,Room in hotel,Private room,
1314,Kendall Hotel,2025-03-17,,Room in hotel,Private room,
1315,Kendall Hotel,2025-03-17,,Room in hotel,Private room,
1316,Kendall Hotel,2025-03-17,,Room in hotel,Private room,
1317,Charles A.,2011-09-17,,Entire rental unit,Entire home/apt,$206.00
1318,Andrew,2018-07-04,,Entire rental unit,Entire home/apt,$191.00
1319,Liya,2020-10-28,,Entire rental unit,Entire home/apt,$133.00
1320,Steve,2015-09-05,Neighborhood highlights,Private room in rental unit,Private room,$28.00
